events	Hit Or Out?	bb_type	hc_x	hc_y	hit_distance_sc	launch_speed	launch_angle	pitch_name	if_fielding_alignment	of_fielding_alignment	adj_hc_x	adj_hc_y	spray_angle
field_out	0	fly_ball	86.63	85.28	299	84.5	38	4-Seam Fastball	Standard	Strategic	-38.79	112.99	-14.21069098
double	1	line_drive	45.39	117.7	281	79.4	28	4-Seam Fastball	Standard	Standard	-80.03	80.57	-33.60551243
force_out	0	ground_ball	127.59	201.95	6	95.9	-21	Cutter	Infield shift	Standard	2.17	-3.68	-22.89505785
home_run	1	fly_ball	217.47	93.48	344	96.9	41	Sinker	Infield shift	Standard	92.05	104.79	30.97262423
home_run	1	fly_ball	244.05	87.16	399	106	26	4-Seam Fastball	Infield shift	Standard	118.63	111.11	35.15608018
double	1	line_drive	219.25	107.17	229	94.1	16	4-Seam Fastball	Infield shift	Standard	93.83	91.1	34.38431887
field_out	0	ground_ball	161.54	135.96	116	101.6	6	4-Seam Fastball	Infield shift	Standard	36.12	62.31	22.57508071
double	1	ground_ball	74.24	153.44	111	100.1	6	4-Seam Fastball	Standard	Standard	-51.18	44.83	-36.58797846
field_out	0	fly_ball	86.93	60.33	355	97	38	Slider	Standard	Standard	-38.49	137.94	-11.69319671
field_out	0	fly_ball	30.41	105.54	327	100.9	49	4-Seam Fastball	Standard	Standard	-95.01	92.73	-34.27184386
field_out	0	fly_ball	174.8	83.95	309	93.2	39	Changeup	Infield shift	Standard	49.38	114.32	17.52128165
field_out	0	popup	165.58	161.85	137	71	64	Changeup	Infield shift	Standard	40.16	36.42	35.84698445
single	1	line_drive	156.09	95.26	269	76.7	26	4-Seam Fastball	Infield shift	Standard	30.67	103.01	12.43520464
field_out	0	fly_ball	166.76	65.69	344	99.8	39	Sinker	Infield shift	Standard	41.34	132.58	12.98856856
force_out	0	ground_ball	156.21	157.48	96	78.3	7	Changeup	Infield shift	Strategic	30.79	40.79	27.78527512
field_out	0	line_drive	205.71	85.18	342	101.6	22	Changeup	Infield shift	Standard	80.29	113.09	26.53007861
field_out	0	line_drive	181.57	87.51	308	86.1	26	Changeup	Infield shift	Strategic	56.15	110.76	20.16211426
field_out	0	ground_ball	155.61	149.61	74	88.6	5	Sinker	Infield shift	Standard	30.19	48.66	23.86245032
field_out	0	line_drive	163.72	162.35	133	90.7	9	4-Seam Fastball	Infield shift	Strategic	38.3	35.92	35.12749842
field_out	0	ground_ball	169.54	137.24	106	108.7	5	Sinker	Infield shift	Strategic	44.12	61.03	26.89802819
field_out	0	popup	114.6	163.34	100	83.5	69	4-Seam Fastball	Standard	Standard	-10.82	34.93	-12.90826087
field_out	0	ground_ball	143.35	169.59	19	75.4	-5	Slider	Infield shift	Strategic	17.93	28.68	24.0094242
force_out	0	ground_ball	145.82	179.51	30	93.5	-2	Curveball	Infield shift	Standard	20.4	18.76	35.54858659
field_out	0	popup	170.13	144.48	176	79.1	61	Changeup	Infield shift	Standard	44.71	53.79	29.79990211
home_run	1	fly_ball	197.86	47.14	404	106.4	35	Sinker	Infield shift	Standard	72.44	151.13	19.20708419
field_out	0	line_drive	162.13	122.19	214	86.6	16	Curveball	Infield shift	Standard	36.71	76.08	19.31862333
home_run	1	line_drive	19.15	93.7	369	107.9	21	4-Seam Fastball	Standard	Standard	-106.27	104.57	-34.0964738
field_out	0	popup	126.7	202.92	1	91	68	4-Seam Fastball	Infield shift	Standard	1.28	-4.65	-11.5429271
field_out	0	ground_ball	157.2	166.25	13	77.4	-9	Changeup	Infield shift	Standard	31.78	32.02	33.58835123
double	1	line_drive	205.13	89.12	333	103.1	18	Changeup	Infield shift	Standard	79.71	109.15	27.10491539
grounded_into_double_play	0	ground_ball	145.17	176.31	31	105.4	-3	4-Seam Fastball	Infield shift	Standard	19.75	21.96	31.47526892
field_out	0	ground_ball			100	107.6	5	Sinker	Infield shift	Standard	-125.42	198.27	-24.23721682
field_out	0	fly_ball	201.34	90.74	325	88.5	27	4-Seam Fastball	Infield shift	Standard	75.92	107.53	26.41758753
single	1	ground_ball	89.01	143.19	7	102.4	-18	Cutter	Standard	Standard	-36.41	55.08	-25.09967867
grounded_into_double_play	0	ground_ball	86.12	159.06	7	90.2	-14	Cutter	Standard	Standard	-39.3	39.21	-33.79926077
single	1	line_drive	183.21	110.42	210	99.7	11	Curveball	Infield shift	Standard	57.79	87.85	25.00346415
field_out	0	fly_ball	167.75	56.04	367	98.1	38	Sinker	Infield shift	Standard	42.33	142.23	12.43040669
field_out	0	ground_ball	151.16	144.79	22	104.2	-4	4-Seam Fastball	Infield shift	Standard	25.74	53.48	19.27618354
field_out	0	line_drive	211.84	101.13	319	92.5	23	Cutter	Infield shift	Standard	86.42	97.14	31.24326963
home_run	1	fly_ball	229	60.05	425	106	31	4-Seam Fastball	Standard	Standard	103.58	138.22	27.63550558
field_out	0	ground_ball	145.66	168.03	4	70.4	-37	Cutter	Standard	Standard	20.24	30.24	25.34615757
double	1	line_drive	189.84	62.99	369	100.7	21	Changeup	Infield shift	Standard	64.42	135.28	19.0977554
single	1	ground_ball	68.25	114.03	127	103	7	Slider	Strategic	Standard	-57.17	84.24	-25.62226568
field_out	0	ground_ball	153.04	131.37	28	106.4	-3	Changeup	Infield shift	Standard	27.62	66.9	16.82514597
field_out	0	ground_ball	164.49	138.86	106	65.9	11	Cutter	Infield shift	Standard	39.07	59.41	24.99769167
field_out	0	ground_ball	152.46	157.68	12	92.4	-4	Changeup	Infield shift	Standard	27.04	40.59	25.25288866
single	1	fly_ball	82.25	125.68	211	64.5	34	Slider	Standard	Standard	-43.17	72.59	-23.05527993
double	1	line_drive	176.01	59.34	366	105.4	20	4-Seam Fastball	Infield shift	Standard	50.59	138.93	15.00644956
field_out	0	line_drive	62.83	97.63	295	86.7	21	4-Seam Fastball	Standard	Standard	-62.59	100.64	-23.90872139
home_run	1	fly_ball	192.21	42.57	419	103.1	30	Changeup	Infield shift	Strategic	66.79	155.7	17.41326383
field_out	0	ground_ball	95.93	141.84	14	95.9	-12	4-Seam Fastball	Standard	Standard	-29.49	56.43	-20.69348603
grounded_into_double_play	0	ground_ball	159.33	167.46	17	96.5	-6	Changeup	Infield shift	Strategic	33.91	30.81	35.80672051
field_out	0	ground_ball	94.45	168.42	4	93.4	-37	Slider	Standard	Standard	-30.97	29.85	-34.54123669
field_out	0	fly_ball	167.33	85.33	299	81.5	30	Sinker	Infield shift	Standard	41.91	112.94	15.26923727
sac_fly	0	line_drive	181.81	97.59	287	101.1	13	Slider	Infield shift	Strategic	56.39	100.68	21.93960891
single	1	ground_ball	79.46	158.63	33	105.6	-3	Changeup	Standard	Standard	-45.96	39.64	-36.91694073
double	1	line_drive	21.76	101.42	157	112.1	8	Changeup	Infield shift	Standard	-103.66	96.85	-35.20890854
field_out	0	line_drive	46.19	94	324	99.5	18	Changeup	Infield shift	Standard	-79.23	104.27	-27.92215447
field_out	0	fly_ball	28.37	100.86	339	92.2	27	Knuckle Curve	Standard	Standard	-97.05	97.41	-33.67044717
field_out	0	fly_ball	179.16	83	315	97.8	43	Slider	Infield shift	Standard	53.74	115.27	18.74654467
single	1	line_drive	72.16	91.79	229	104.8	10	4-Seam Fastball	Infield shift	Standard	-53.26	106.48	-19.93024497
force_out	0	ground_ball	157.36	162.6	10	95.5	-16	4-Seam Fastball	Infield shift	Standard	31.94	35.67	31.3816725
field_out	0	fly_ball	65.2	84.77	319	90.1	37	4-Seam Fastball	Standard	Standard	-60.22	113.5	-20.96190033
double	1	fly_ball	46.76	59.18	394	106.8	36	4-Seam Fastball	Standard	Standard	-78.66	139.09	-22.11719746
force_out	0	ground_ball	109.68	142.8	72	76.5	6	Slider	Standard	Standard	-15.74	55.47	-11.88124585
