,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,team
49,50,May 26,False,SFG,"L,4-5",39,38,4,13,2,0,0,4,0,0,7,0,1,0,0,1,0,0,0.232,0.307,0.387,0.694,8,16,R,J.Cueto(40),ARI
50,51,May 27,False,STL,"L,4-5",40,36,4,7,3,0,0,4,3,0,11,1,0,0,0,0,1,0,0.231,0.307,0.385,0.691,6,17,R,C.Martinez(59),ARI
51,52,May 28,False,STL,"L,6-8",46,37,6,11,3,1,0,6,7,0,12,1,0,1,0,1,0,0,0.232,0.309,0.386,0.695,13,14,R,J.Oviedo(40),ARI
52,53,May 29,False,STL,"L,4-7",41,35,4,8,3,0,1,4,6,0,11,0,0,0,0,0,0,0,0.232,0.31,0.386,0.696,10,17,R,A.Wainwright(44),ARI
53,54,May 30,False,STL,"W,9-2",42,37,9,13,1,1,1,9,5,1,1,0,0,0,2,2,0,0,0.234,0.312,0.388,0.701,9,12,L,K.Kim(33),ARI
54,55,May 31,False,NYM,"L,2-6",35,35,2,8,1,0,1,2,0,0,11,0,0,0,0,0,0,0,0.234,0.311,0.388,0.699,6,13,R,J.deGrom(76),ARI
55,56,Jun 1,False,NYM,"W,6-5",42,40,6,11,2,0,1,6,2,0,9,0,0,0,1,0,0,0,0.235,0.311,0.388,0.699,8,18,R,M.Stroman(52),ARI
56,57,Jun 2,False,NYM,"L,6-7",36,32,6,8,1,0,1,6,4,0,4,0,0,0,0,1,0,0,0.235,0.311,0.388,0.699,3,17,L,D.Peterson(22),ARI
57,58,Jun 3,True,MIL,"L,4-7",45,40,4,13,4,0,1,4,4,0,11,1,0,0,0,0,0,0,0.237,0.313,0.39,0.703,14,16,L,B.Anderson(35),ARI
58,59,Jun 4,True,MIL,"L,1-5",31,27,1,1,0,0,0,1,3,0,10,0,0,1,0,0,1,0,0.235,0.311,0.385,0.696,3,14,R,F.Peralta(78),ARI
59,60,Jun 5,True,MIL,"L,5-7",39,36,5,10,2,0,3,5,3,0,14,0,0,0,0,0,0,1,0.235,0.311,0.389,0.7,7,15,R,B.Woodruff(55),ARI
60,61,Jun 6,True,MIL,"L,0-2",33,33,0,6,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0.235,0.309,0.386,0.695,6,15,R,C.Burnes(82),ARI
61,62,Jun 8,True,OAK,"L,2-5",33,31,2,5,0,0,1,2,1,0,6,0,0,1,0,0,0,0,0.233,0.307,0.384,0.691,4,10,R,C.Bassitt(66),ARI
62,63,Jun 9,True,OAK,"L,0-4",34,30,0,2,0,0,0,0,4,0,5,0,0,0,1,0,0,0,0.231,0.305,0.38,0.685,7,11,L,S.Manaea(69),ARI
63,64,Jun 11,False,LAA,"L,5-6",45,41,5,10,4,0,1,2,3,0,15,1,0,0,0,1,0,0,0.231,0.306,0.38,0.686,10,20,R,S.Ohtani(55),ARI
64,65,Jun 12,False,LAA,"L,7-8",38,36,7,10,2,0,2,7,1,0,7,0,1,0,0,0,0,0,0.232,0.305,0.382,0.688,4,16,R,A.Cobb(27),ARI
65,66,Jun 13,False,LAA,"L,3-10",38,34,3,8,0,0,0,3,4,0,5,0,0,0,0,1,0,0,0.232,0.306,0.38,0.686,8,16,L,P.Sandoval(58),ARI
66,67,Jun 14,True,SFG,"L,2-5",36,32,2,6,1,0,1,2,2,0,8,1,0,0,0,1,0,0,0.232,0.305,0.379,0.684,7,16,L,A.Wood(62),ARI
67,68,Jun 15,True,SFG,"L,8-9",41,38,8,12,5,0,0,8,3,0,7,0,0,0,0,1,0,0,0.233,0.306,0.38,0.686,6,13,R,Z.Littell(24),ARI
68,69,Jun 16,True,SFG,"L,7-13",41,39,7,10,3,0,1,6,2,0,7,0,0,0,2,0,0,0,0.233,0.306,0.381,0.686,7,16,R,A.DeSclafani(55),ARI
69,70,Jun 17,True,SFG,"L,3-10",33,32,3,5,1,1,0,3,1,0,6,0,0,0,1,1,0,0,0.232,0.304,0.379,0.683,3,12,R,K.Gausman(71),ARI
70,71,Jun 18,False,LAD,"L,0-3",33,30,0,3,1,0,0,0,3,0,9,0,0,0,0,0,1,0,0.231,0.303,0.376,0.678,6,14,R,T.Bauer(76),ARI
71,72,Jun 19,False,LAD,"L,3-9",34,30,3,4,1,0,0,3,3,0,14,1,0,0,0,1,1,0,0.229,0.302,0.373,0.675,4,15,R,W.Buehler(75),ARI
72,73,Jun 20,False,LAD,"L,8-9",42,39,8,12,2,0,0,8,3,0,8,0,0,0,0,0,0,0,0.231,0.303,0.373,0.676,7,19,R,T.Gonsolin(53),ARI
73,74,Jun 21,False,MIL,"W,5-1",38,30,5,9,1,0,0,5,6,0,11,1,1,0,0,0,0,1,0.231,0.304,0.373,0.677,9,12,L,B.Anderson(33),ARI
74,75,Jun 22,False,MIL,"L,0-5",34,29,0,2,1,0,0,0,5,0,12,0,0,0,0,0,1,0,0.23,0.303,0.37,0.673,7,17,R,F.Peralta(76),ARI
75,76,Jun 23,False,MIL,"L,2-3",34,31,2,5,0,0,2,2,3,0,12,0,0,0,0,0,0,1,0.229,0.302,0.369,0.672,5,16,R,B.Woodruff(74),ARI
76,77,Jun 25,True,SDP,"L,5-11",45,39,5,13,3,0,0,5,5,0,8,0,1,0,1,0,0,0,0.23,0.304,0.37,0.674,13,16,R,C.Paddack(21),ARI
77,78,Jun 26,True,SDP,"W,10-1",44,40,10,16,3,0,2,10,3,0,4,0,1,0,0,1,0,1,0.233,0.306,0.374,0.68,7,18,R,D.Lamet(30),ARI
78,79,Jun 27,True,SDP,"L,4-5",37,34,4,8,3,0,0,2,2,0,10,0,0,1,0,1,0,0,0.233,0.306,0.373,0.679,6,15,R,Y.Darvish(62),ARI
79,80,Jun 28,True,STL,"L,1-7",38,34,1,7,2,1,1,1,3,1,6,1,0,0,0,0,0,0,0.233,0.305,0.374,0.679,10,14,L,W.LeBlanc(52),ARI
80,81,Jun 29,True,STL,"L,2-3",37,31,2,6,2,0,0,2,5,0,10,0,1,0,1,1,0,0,0.232,0.305,0.372,0.678,8,18,R,C.Martinez(64),ARI
81,82,Jun 30,True,STL,"L,4-7",41,33,4,6,1,0,0,3,7,0,6,1,0,0,0,0,0,0,0.232,0.306,0.37,0.676,10,18,L,K.Kim(59),ARI
82,83,Jul 1,False,SFG,"W,5-3",34,31,5,8,2,1,2,5,3,1,9,0,0,0,0,1,1,0,0.232,0.306,0.373,0.679,5,14,R,J.Cueto(36),ARI
83,84,Jul 2,False,SFG,"L,4-11",37,33,4,7,0,0,2,4,3,0,12,1,0,0,0,1,0,0,0.232,0.306,0.373,0.679,6,15,L,A.Wood(56),ARI
84,85,Jul 3,False,SFG,"L,5-6",41,38,5,10,2,0,1,5,2,0,13,0,0,0,0,0,1,0,0.232,0.306,0.373,0.679,9,18,L,S.Long(37),ARI
85,86,Jul 4,False,SFG,"L,2-5",33,30,2,6,1,0,0,2,3,0,7,0,0,0,0,2,0,0,0.232,0.306,0.372,0.677,4,14,R,A.DeSclafani(69),ARI
86,87,Jul 6,False,COL,"W,4-3",38,32,4,7,4,0,0,4,5,0,9,1,0,0,0,0,0,0,0.232,0.306,0.372,0.677,9,16,R,J.Gray(55),ARI
87,88,Jul 7,False,COL,"W,6-4",35,32,6,9,1,0,1,6,2,0,6,0,0,1,0,0,0,0,0.232,0.306,0.372,0.678,5,15,R,A.Senzatela(50),ARI
88,89,Jul 8,False,COL,"L,3-9",37,34,3,7,1,0,1,2,3,0,8,0,0,0,0,1,0,0,0.232,0.306,0.371,0.677,7,16,R,C.Gonzalez(47),ARI
89,90,Jul 9,True,LAD,"W,5-2",46,36,5,8,2,0,1,5,7,0,11,2,1,0,2,0,2,0,0.232,0.307,0.371,0.678,14,17,L,D.Price(53),ARI
90,91,Jul 10,True,LAD,"L,1-22",33,31,1,4,1,0,1,1,2,0,11,0,0,0,0,0,0,0,0.231,0.305,0.37,0.676,5,17,R,W.Buehler(71),ARI
91,92,Jul 11,True,LAD,"L,4-7",38,36,4,10,2,0,2,4,2,1,9,0,0,0,0,0,0,1,0.231,0.306,0.372,0.677,7,16,R,T.Gonsolin(55),ARI
92,93,Jul 16,False,CHC,"L,1-5",36,31,1,7,3,0,0,1,3,0,10,1,1,0,0,1,0,0,0.231,0.306,0.371,0.677,8,17,R,K.Hendricks(57),ARI
93,94,Jul 17,False,CHC,"L,2-4",35,31,2,5,0,0,0,2,4,0,9,0,0,0,0,1,1,0,0.23,0.305,0.369,0.674,6,15,R,A.Alzolay(49),ARI
94,95,Jul 18,False,CHC,"W,6-4",41,28,6,8,3,0,1,5,11,2,4,1,1,0,0,2,2,0,0.231,0.307,0.37,0.678,11,10,R,Z.Davies(43),ARI
95,96,Jul 19,False,PIT,"W,4-2",36,33,4,10,2,2,3,4,2,0,7,1,0,0,0,1,1,0,0.232,0.308,0.374,0.682,8,15,R,C.De Jong(41),ARI
96,97,Jul 20,False,PIT,"W,11-6",41,36,11,13,3,1,0,11,5,0,10,0,0,0,0,1,0,0,0.233,0.309,0.376,0.685,6,15,L,T.Anderson(51),ARI
97,98,Jul 21,False,PIT,"W,6-4",39,34,6,12,5,0,2,6,4,0,10,1,0,0,0,1,2,1,0.234,0.311,0.379,0.689,9,17,R,M.Kranick(31),ARI
98,99,Jul 23,True,CHC,"L,3-8",39,36,3,9,2,0,1,3,3,0,12,0,0,0,0,0,0,0,0.235,0.311,0.379,0.689,9,13,R,Z.Davies(52),ARI
99,100,Jul 24,True,CHC,"W,7-3",40,35,7,9,4,0,2,7,5,0,4,0,0,0,0,1,0,0,0.235,0.311,0.38,0.691,6,17,R,A.Mills(52),ARI
100,101,Jul 25,True,CHC,"L,1-5",38,34,1,7,2,0,0,1,4,0,8,0,0,0,0,0,0,0,0.234,0.311,0.379,0.69,10,15,R,T.Williams(69),ARI
101,102,Jul 27,True,TEX,"L,4-5",35,30,4,8,2,0,0,4,4,0,7,0,0,1,0,1,0,0,0.235,0.311,0.379,0.69,4,9,R,D.Dunning(54),ARI
102,103,Jul 28,True,TEX,"W,3-2",32,29,3,3,1,0,2,3,2,0,9,0,0,1,0,0,1,0,0.234,0.31,0.379,0.688,2,9,R,J.Lyles(69),ARI
103,104,Jul 30,False,LAD,"W,6-5",47,37,6,10,5,0,0,6,9,0,8,0,0,1,0,0,1,0,0.234,0.311,0.379,0.69,13,17,R,T.Gonsolin(41),ARI
104,105,Jul 31,False,LAD,"L,3-8",32,29,3,5,1,0,2,3,2,0,10,0,1,0,0,2,0,0,0.234,0.31,0.379,0.689,2,14,R,M.White(53),ARI
105,106,Aug 1,False,LAD,"L,0-13",31,30,0,4,0,0,0,0,1,0,12,0,0,0,0,1,0,0,0.233,0.309,0.377,0.686,4,15,L,J.Urias(66),ARI
106,107,Aug 2,False,SFG,"L,8-11",44,42,8,12,1,0,2,7,2,0,7,0,0,0,0,0,1,0,0.233,0.309,0.378,0.687,6,17,R,A.DeSclafani(35),ARI
107,108,Aug 3,False,SFG,"W,3-1",39,30,3,7,4,0,0,3,8,0,8,0,1,0,0,0,0,0,0.233,0.31,0.378,0.688,12,12,R,J.Cueto(48),ARI
108,109,Aug 4,False,SFG,"L,1-7",34,32,1,6,1,0,0,1,1,0,12,0,1,0,0,0,0,0,0.233,0.309,0.376,0.686,6,15,R,K.Gausman(66),ARI
109,110,Aug 5,False,SFG,"L,4-5",42,36,4,7,1,0,0,4,5,0,11,1,0,0,0,1,0,0,0.233,0.309,0.375,0.684,8,15,L,A.Wood(34),ARI
110,111,Aug 6,True,SDP,"W,8-5",39,37,8,12,2,0,0,8,2,0,6,0,0,0,0,2,1,0,0.233,0.31,0.375,0.685,4,13,L,R.Weathers(21),ARI
111,112,Aug 7,True,SDP,"L,2-6",31,30,2,5,0,0,1,2,1,0,12,0,0,0,0,1,0,1,0.233,0.309,0.374,0.683,2,15,R,Y.Darvish(73),ARI
112,113,Aug 8,True,SDP,"L,0-2",33,30,0,3,2,0,0,0,3,0,17,0,0,0,0,0,0,0,0.232,0.308,0.373,0.68,6,12,L,B.Snell(83),ARI
113,114,Aug 10,True,SFG,"L,7-8",38,35,7,10,4,1,1,7,2,0,9,0,0,1,0,0,0,0,0.232,0.308,0.374,0.682,4,16,L,A.Wood(45),ARI
114,115,Aug 11,True,SFG,"L,2-7",38,33,2,6,2,0,0,2,5,1,8,0,0,0,1,1,0,0,0.232,0.308,0.373,0.681,9,16,R,K.Gausman(54),ARI
115,116,Aug 12,False,SDP,"W,12-3",46,38,12,15,3,0,1,12,7,1,10,1,0,0,0,1,0,0,0.233,0.31,0.375,0.684,10,15,R,Y.Darvish(29),ARI
116,117,Aug 13,False,SDP,"W,3-2",35,31,3,8,2,0,2,3,4,1,11,0,0,0,0,1,1,0,0.234,0.31,0.376,0.686,8,11,L,B.Snell(51),ARI
117,118,Aug 14,False,SDP,"W,7-0",39,35,7,15,5,1,1,7,2,0,6,0,2,0,0,2,0,0,0.235,0.311,0.379,0.69,8,10,R,J.Musgrove(25),ARI
118,119,Aug 15,False,SDP,"L,2-8",36,35,2,8,1,1,1,2,1,0,8,0,0,0,0,0,0,0,0.235,0.311,0.379,0.69,7,16,R,C.Stammen(53),ARI
119,120,Aug 17,False,PHI,"W,3-2",32,30,3,7,3,0,1,3,2,1,9,0,0,0,0,1,0,0,0.235,0.311,0.379,0.69,5,15,R,K.Gibson(49),ARI
120,121,Aug 18,False,PHI,"W,4-2",38,33,4,11,2,0,0,3,4,1,4,1,0,0,0,1,0,0,0.236,0.312,0.379,0.691,10,13,L,R.Suarez(34),ARI
121,122,Aug 19,False,PHI,"W,6-2",33,31,6,8,4,0,0,6,1,0,10,0,1,0,0,1,0,0,0.236,0.311,0.38,0.691,3,10,R,Z.Wheeler(42),ARI
122,123,Aug 20,True,COL,"L,4-9",44,37,4,11,2,1,1,4,6,0,7,1,0,0,0,0,0,0,0.237,0.312,0.381,0.693,13,16,L,A.Gomber(43),ARI
123,124,Aug 21,True,COL,"L,2-5",37,34,2,8,1,0,1,2,2,1,12,0,1,0,0,0,0,0,0.237,0.312,0.38,0.692,8,14,L,K.Freeland(66),ARI
124,125,Aug 22,True,COL,"W,8-4",45,38,8,11,4,1,2,8,7,1,13,0,0,0,0,0,0,0,0.237,0.313,0.382,0.695,10,14,R,J.Gray(41),ARI
125,126,Aug 23,True,PIT,"L,5-6",39,34,5,8,2,0,1,5,3,0,11,1,1,0,0,0,0,0,0.237,0.313,0.382,0.695,7,16,R,W.Crowe(32),ARI
126,127,Aug 24,True,PIT,"L,2-4",37,34,2,7,3,0,1,2,3,1,8,0,0,0,0,0,0,0,0.237,0.312,0.382,0.695,8,13,R,J.Brubaker(62),ARI
127,128,Aug 25,True,PIT,"W,5-2",38,34,5,7,1,0,2,4,4,0,10,0,0,0,0,0,0,0,0.237,0.312,0.383,0.695,6,17,R,B.Wilson(68),ARI
128,129,Aug 26,True,PHI,"W,8-7",45,39,8,15,1,0,2,8,3,0,6,1,2,0,0,1,0,0,0.238,0.313,0.384,0.698,10,17,L,M.Moore(32),ARI
129,130,Aug 27,True,PHI,"L,6-7",42,38,6,6,0,1,2,6,2,1,13,0,1,1,1,0,0,0,0.237,0.312,0.384,0.696,3,18,R,A.Nola(61),ARI
130,131,Aug 28,True,PHI,"L,0-7",31,31,0,4,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0.237,0.311,0.382,0.694,4,14,R,K.Gibson(69),ARI
131,132,Aug 29,True,PHI,"L,4-7",41,37,4,10,3,0,0,4,4,0,9,0,0,0,0,0,0,0,0.237,0.312,0.382,0.694,10,15,L,R.Suarez(57),ARI
132,133,Aug 30,False,SDP,"L,5-7",37,34,5,7,2,0,1,4,3,0,10,0,0,0,0,0,0,0,0.237,0.311,0.382,0.693,5,17,R,C.Paddack(59),ARI
133,134,Aug 31,False,SDP,"L,0-3",32,30,0,3,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0.236,0.31,0.38,0.69,5,15,L,B.Snell(85),ARI
134,135,Sep 1,False,SDP,"W,8-3",44,36,8,13,2,0,1,6,5,0,8,3,0,0,1,2,2,0,0.237,0.312,0.381,0.693,12,13,R,Y.Darvish(22),ARI
135,136,Sep 3,False,SEA,"L,5-6",40,36,5,7,2,1,0,5,3,0,8,1,0,0,0,1,0,0,0.236,0.311,0.38,0.692,5,17,L,T.Anderson(56),ARI
136,137,Sep 4,False,SEA,"L,5-8",39,35,5,10,6,0,2,5,2,0,3,2,0,0,0,1,0,0,0.237,0.312,0.382,0.694,7,17,L,M.Gonzales(32),ARI
137,138,Sep 5,False,SEA,"L,4-10",40,37,4,6,2,0,1,4,2,0,11,0,1,0,1,2,0,0,0.236,0.311,0.382,0.693,3,17,R,C.Flexen(54),ARI
138,139,Sep 7,False,TEX,"L,1-3",32,28,1,3,0,1,0,1,2,0,4,0,1,1,0,0,1,0,0.235,0.31,0.38,0.691,4,12,R,S.Howard(57),ARI
139,140,Sep 8,False,TEX,"L,5-8",39,36,5,9,2,0,2,5,3,0,5,0,0,0,0,0,0,0,0.236,0.31,0.381,0.691,7,19,R,K.Arihara(50),ARI
140,141,Sep 10,True,SEA,"L,4-5",35,32,4,6,1,0,2,4,2,0,9,0,0,1,0,0,0,0,0.235,0.31,0.381,0.691,4,11,L,M.Gonzales(54),ARI
141,142,Sep 11,True,SEA,"W,7-3",38,34,7,9,2,0,1,7,4,0,11,0,0,0,0,1,0,0,0.235,0.31,0.382,0.691,4,9,R,C.Flexen(37),ARI
142,143,Sep 12,True,SEA,"W,5-4",37,36,5,11,3,0,1,5,1,0,11,0,0,0,0,2,0,0,0.236,0.31,0.382,0.692,5,10,L,Y.Kikuchi(58),ARI
143,144,Sep 13,True,LAD,"L,1-5",36,32,1,6,2,0,0,1,3,0,9,0,1,0,0,0,0,0,0.236,0.31,0.381,0.691,8,14,L,C.Kershaw(55),ARI
