,team_game_order,orig_game_date,played_at_opp,opp_team,team_game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,team,team_w_or_l,team_runs,opp_runs,team_won,team_at_home,opp_at_home,home_team,away_team,game_date,game_date_compact,dh_game_num,teams_in_game,teams_and_game_loc,game_uid,game_desc
0,1,Apr 1,True,SDP,"L,7-8",41,40,7,12,3,0,4,7,1,0,12,0,0,0,1,0,0,0,0.3,0.317,0.675,0.992,7,16,R,Y.Darvish(37),ARI,L,7,8,0.0,0.0,1.0,SDP,ARI,2021-04-01,20210401,,"ARI, SDP",ARI@SDP,20210401|ARI@SDP|1,ARI at SDP on 2021-04-01
1,2,Apr 2,True,SDP,"L,2-4",38,36,2,8,1,0,1,2,2,0,12,0,0,0,1,1,1,0,0.263,0.291,0.513,0.804,9,17,L,B.Snell(62),ARI,L,2,4,0.0,0.0,1.0,SDP,ARI,2021-04-02,20210402,,"ARI, SDP",ARI@SDP,20210402|ARI@SDP|1,ARI at SDP on 2021-04-02
2,3,Apr 3,True,SDP,"L,0-7",30,30,0,4,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0.226,0.248,0.406,0.653,3,13,R,J.Musgrove(74),ARI,L,0,7,0.0,0.0,1.0,SDP,ARI,2021-04-03,20210403,,"ARI, SDP",ARI@SDP,20210403|ARI@SDP|1,ARI at SDP on 2021-04-03
3,4,Apr 4,True,SDP,"W,3-1",38,32,3,6,1,1,0,2,6,1,8,0,0,0,1,2,0,0,0.217,0.265,0.377,0.642,8,16,R,C.Paddack(44),ARI,W,3,1,1.0,0.0,1.0,SDP,ARI,2021-04-04,20210404,,"ARI, SDP",ARI@SDP,20210404|ARI@SDP|1,ARI at SDP on 2021-04-04
4,5,Apr 6,True,COL,"W,10-8",57,53,10,13,3,0,2,9,3,0,13,1,0,0,1,0,0,0,0.225,0.275,0.387,0.662,8,19,R,G.Marquez(53),ARI,W,10,8,1.0,0.0,1.0,COL,ARI,2021-04-06,20210406,,"ARI, COL",ARI@COL,20210406|ARI@COL|1,ARI at COL on 2021-04-06
5,6,Apr 7,True,COL,"L,0-8",33,31,0,5,2,0,0,0,2,0,4,0,0,0,0,1,0,0,0.216,0.266,0.365,0.631,6,14,R,A.Senzatela(75),ARI,L,0,8,0.0,0.0,1.0,COL,ARI,2021-04-07,20210407,,"ARI, COL",ARI@COL,20210407|ARI@COL|1,ARI at COL on 2021-04-07
6,7,Apr 8,True,COL,"L,3-7",37,31,3,5,1,1,1,3,6,0,7,0,0,0,0,1,1,0,0.209,0.27,0.364,0.634,7,14,R,J.Gray(67),ARI,L,3,7,0.0,0.0,1.0,COL,ARI,2021-04-08,20210408,,"ARI, COL",ARI@COL,20210408|ARI@COL|1,ARI at COL on 2021-04-08
7,8,Apr 9,False,CIN,"L,5-6",45,35,5,6,2,0,1,5,9,1,11,0,0,1,0,0,0,0,0.205,0.279,0.358,0.637,10,17,R,T.Mahle(64),ARI,L,5,6,0.0,1.0,0.0,ARI,CIN,2021-04-09,20210409,,"ARI, CIN",CIN@ARI,20210409|CIN@ARI|1,CIN at ARI on 2021-04-09
8,9,Apr 10,False,CIN,"W,8-3",39,34,8,10,0,0,2,7,4,0,6,0,0,1,1,0,1,0,0.214,0.288,0.37,0.657,7,12,R,J.Hoffman(38),ARI,W,8,3,1.0,1.0,0.0,ARI,CIN,2021-04-10,20210410,,"ARI, CIN",CIN@ARI,20210410|CIN@ARI|1,CIN at ARI on 2021-04-10
9,10,Apr 11,False,CIN,"W,7-0",41,35,7,13,3,0,2,7,6,0,12,0,0,0,0,2,0,0,0.23,0.306,0.395,0.701,10,12,R,J.De Leon(29),ARI,W,7,0,1.0,1.0,0.0,ARI,CIN,2021-04-11,20210411,,"ARI, CIN",CIN@ARI,20210411|CIN@ARI|1,CIN at ARI on 2021-04-11
10,11,Apr 12,False,OAK,"L,5-9",39,33,5,7,1,1,0,5,5,0,6,0,0,1,0,1,0,0,0.228,0.306,0.387,0.693,7,18,R,C.Bassitt(54),ARI,L,5,9,0.0,1.0,0.0,ARI,OAK,2021-04-12,20210412,,"ARI, OAK",OAK@ARI,20210412|OAK@ARI|1,OAK at ARI on 2021-04-12
11,12,Apr 13,False,OAK,"L,5-7",38,34,5,8,1,0,1,5,4,0,9,0,0,0,0,1,1,0,0.229,0.307,0.384,0.691,6,14,L,J.Luzardo(25),ARI,L,5,7,0.0,1.0,0.0,ARI,OAK,2021-04-13,20210413,,"ARI, OAK",OAK@ARI,20210413|OAK@ARI|1,OAK at ARI on 2021-04-13
12,13,Apr 15,True,WSN,"W,11-6",49,37,11,8,0,0,4,11,7,0,4,5,0,0,1,0,1,0,0.228,0.316,0.397,0.713,11,15,L,P.Corbin(3),ARI,W,11,6,1.0,0.0,1.0,WSN,ARI,2021-04-15,20210415,,"ARI, WSN",ARI@WSN,20210415|ARI@WSN|1,ARI at WSN on 2021-04-15
13,14,Apr 16,True,WSN,"L,0-1",32,30,0,3,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0.22,0.307,0.379,0.686,5,14,R,M.Scherzer(81),ARI,L,0,1,0.0,0.0,1.0,WSN,ARI,2021-04-16,20210416,,"ARI, WSN",ARI@WSN,20210416|ARI@WSN|1,ARI at WSN on 2021-04-16
14,15,Apr 17,True,WSN,"L,2-6",37,34,2,5,0,0,2,2,3,0,13,0,0,0,2,0,0,1,0.215,0.301,0.375,0.677,8,16,R,E.Fedde(63),ARI,L,2,6,0.0,0.0,1.0,WSN,ARI,2021-04-17,20210417,,"ARI, WSN",ARI@WSN,20210417|ARI@WSN|1,ARI at WSN on 2021-04-17
15,16,Apr 18,True,WSN,"W,5-2",43,35,5,11,2,0,2,4,7,1,7,0,0,1,0,0,0,1,0.221,0.309,0.386,0.695,11,15,R,P.Espino(47),ARI,W,5,2,1.0,0.0,1.0,WSN,ARI,2021-04-18,20210418,,"ARI, WSN",ARI@WSN,20210418|ARI@WSN|1,ARI at WSN on 2021-04-18
16,17,Apr 20,True,CIN,"W,5-4",46,36,5,9,3,0,1,4,8,1,11,2,0,0,0,1,0,0,0.223,0.316,0.388,0.704,14,18,R,L.Castillo(41),ARI,W,5,4,1.0,0.0,1.0,CIN,ARI,2021-04-20,20210420,,"ARI, CIN",ARI@CIN,20210420|ARI@CIN|1,ARI at CIN on 2021-04-20
17,18,Apr 21,True,CIN,"W,8-5",46,36,8,6,0,0,1,7,7,1,16,3,0,0,0,1,0,0,0.22,0.318,0.38,0.698,8,17,R,T.Mahle(77),ARI,W,8,5,1.0,0.0,1.0,CIN,ARI,2021-04-21,20210421,,"ARI, CIN",ARI@CIN,20210421|ARI@CIN|1,ARI at CIN on 2021-04-21
18,19,Apr 22,True,CIN,"W,14-11",52,43,14,14,2,1,2,14,8,0,9,0,0,1,0,1,1,0,0.227,0.325,0.391,0.716,8,21,R,J.Hoffman(56),ARI,W,14,11,1.0,0.0,1.0,CIN,ARI,2021-04-22,20210422,,"ARI, CIN",ARI@CIN,20210422|ARI@CIN|1,ARI at CIN on 2021-04-22
19,20,Apr 23,True,ATL,"L,4-5",35,32,4,5,2,0,1,3,3,0,7,0,0,0,0,0,0,0,0.223,0.321,0.388,0.709,4,14,R,H.Ynoa(64),ARI,L,4,5,0.0,0.0,1.0,ATL,ARI,2021-04-23,20210423,,"ARI, ATL",ARI@ATL,20210423|ARI@ATL|1,ARI at ATL on 2021-04-23
20,21,Apr 25 (1),True,ATL,"W,5-0",31,27,5,8,1,1,2,5,3,0,7,0,1,0,0,0,0,1,0.226,0.323,0.396,0.719,5,9,R,B.Wilson(44),ARI,W,5,0,1.0,0.0,1.0,ATL,ARI,2021-04-25,20210425,1,"ARI, ATL",ARI@ATL,20210425|ARI@ATL|1,"ARI at ATL on 2021-04-25, Game 1"
21,22,Apr 25 (2),True,ATL,"W,7-0",33,31,7,10,3,0,3,7,2,0,8,0,0,0,1,0,0,0,0.23,0.324,0.409,0.733,5,10,L,D.Smyly(30),ARI,W,7,0,1.0,0.0,1.0,ATL,ARI,2021-04-25,20210425,2,"ARI, ATL",ARI@ATL,20210425|ARI@ATL|2,"ARI at ATL on 2021-04-25, Game 2"
22,23,Apr 27,False,SDP,"W,5-1",31,31,5,7,0,0,1,3,0,0,8,0,0,0,1,0,1,0,0.23,0.321,0.406,0.727,2,14,R,C.Paddack(45),ARI,W,5,1,1.0,1.0,0.0,ARI,SDP,2021-04-27,20210427,,"ARI, SDP",SDP@ARI,20210427|SDP@ARI|1,SDP at ARI on 2021-04-27
23,24,Apr 28,False,SDP,"L,3-12",35,32,3,7,4,0,1,3,2,0,5,1,0,0,1,3,0,0,0.229,0.32,0.407,0.727,5,17,L,R.Weathers(52),ARI,L,3,12,0.0,1.0,0.0,ARI,SDP,2021-04-28,20210428,,"ARI, SDP",SDP@ARI,20210428|SDP@ARI|1,SDP at ARI on 2021-04-28
24,25,Apr 29,False,COL,"W,5-3",40,37,5,12,2,2,1,5,3,0,6,0,0,0,1,0,1,0,0.234,0.322,0.414,0.736,11,18,R,A.Senzatela(36),ARI,W,5,3,1.0,1.0,0.0,ARI,COL,2021-04-29,20210429,,"ARI, COL",COL@ARI,20210429|COL@ARI|1,COL at ARI on 2021-04-29
25,26,Apr 30,False,COL,"W,7-2",38,35,7,12,1,1,1,6,3,0,5,0,0,0,2,3,0,0,0.238,0.325,0.418,0.742,7,13,R,J.Gray(36),ARI,W,7,2,1.0,1.0,0.0,ARI,COL,2021-04-30,20210430,,"ARI, COL",COL@ARI,20210430|COL@ARI|1,COL at ARI on 2021-04-30
26,27,May 1,False,COL,"L,6-14",38,34,6,10,2,0,2,5,1,0,8,0,1,2,0,1,1,0,0.24,0.324,0.422,0.745,5,16,L,A.Gomber(53),ARI,L,6,14,0.0,1.0,0.0,ARI,COL,2021-05-01,20210501,,"ARI, COL",COL@ARI,20210501|COL@ARI|1,COL at ARI on 2021-05-01
27,28,May 2,False,COL,"W,8-4",36,33,8,9,4,1,1,8,3,0,8,0,0,0,1,0,0,0,0.241,0.324,0.426,0.75,4,15,R,C.Gonzalez(38),ARI,W,8,4,1.0,1.0,0.0,ARI,COL,2021-05-02,20210502,,"ARI, COL",COL@ARI,20210502|COL@ARI|1,COL at ARI on 2021-05-02
28,29,May 4,True,MIA,"L,3-9",40,36,3,9,1,0,1,2,3,0,12,0,1,0,1,1,0,0,0.241,0.323,0.424,0.747,10,18,R,S.Alcantara(59),ARI,L,3,9,0.0,0.0,1.0,MIA,ARI,2021-05-04,20210504,,"ARI, MIA",ARI@MIA,20210504|ARI@MIA|1,ARI at MIA on 2021-05-04
29,30,May 5,True,MIA,"L,0-8",35,32,0,5,1,0,0,0,3,0,11,0,0,0,0,0,0,0,0.239,0.321,0.416,0.737,8,15,L,R.Detwiler(59),ARI,L,0,8,0.0,0.0,1.0,MIA,ARI,2021-05-05,20210505,,"ARI, MIA",ARI@MIA,20210505|ARI@MIA|1,ARI at MIA on 2021-05-05
30,31,May 6,True,MIA,"L,1-3",38,33,1,5,2,0,0,1,3,0,8,2,0,0,2,1,0,0,0.236,0.319,0.41,0.729,10,14,R,P.Lopez(63),ARI,L,1,3,0.0,0.0,1.0,MIA,ARI,2021-05-06,20210506,,"ARI, MIA",ARI@MIA,20210506|ARI@MIA|1,ARI at MIA on 2021-05-06
31,32,May 7,True,NYM,"L,4-5",46,39,4,10,0,0,0,4,5,0,8,1,1,0,1,0,1,0,0.237,0.32,0.405,0.725,12,15,L,D.Peterson(37),ARI,L,4,5,0.0,0.0,1.0,NYM,ARI,2021-05-07,20210507,,"ARI, NYM",ARI@NYM,20210507|ARI@NYM|1,ARI at NYM on 2021-05-07
32,33,May 8,True,NYM,"L,2-4",40,34,2,8,0,0,0,2,2,0,7,1,1,0,0,0,0,0,0.237,0.319,0.4,0.719,11,15,R,T.Hunter(57),ARI,L,2,4,0.0,0.0,1.0,NYM,ARI,2021-05-08,20210508,,"ARI, NYM",ARI@NYM,20210508|ARI@NYM|1,ARI at NYM on 2021-05-08
33,34,May 9,True,NYM,"L,2-4",35,29,2,4,2,0,1,1,4,0,11,2,0,0,0,2,0,0,0.234,0.318,0.397,0.716,6,17,R,J.deGrom(64),ARI,L,2,4,0.0,0.0,1.0,NYM,ARI,2021-05-09,20210509,,"ARI, NYM",ARI@NYM,20210509|ARI@NYM|1,ARI at NYM on 2021-05-09
34,35,May 10,False,MIA,"W,5-2",35,31,5,8,6,1,0,4,4,0,6,0,0,0,0,1,1,0,0.235,0.319,0.4,0.72,6,12,R,J.Holloway(35),ARI,W,5,2,1.0,1.0,0.0,ARI,MIA,2021-05-10,20210510,,"ARI, MIA",MIA@ARI,20210510|MIA@ARI|1,MIA at ARI on 2021-05-10
35,36,May 11,False,MIA,"W,11-3",41,36,11,15,4,2,2,11,4,0,7,0,0,1,0,2,0,0,0.24,0.323,0.412,0.736,6,14,R,P.Lopez(25),ARI,W,11,3,1.0,1.0,0.0,ARI,MIA,2021-05-11,20210511,,"ARI, MIA",MIA@ARI,20210511|MIA@ARI|1,MIA at ARI on 2021-05-11
36,37,May 12,False,MIA,"L,2-3",33,33,2,7,1,0,1,2,0,0,10,0,0,0,0,0,1,0,0.239,0.321,0.41,0.731,4,15,R,C.Poteet(57),ARI,L,2,3,0.0,1.0,0.0,ARI,MIA,2021-05-12,20210512,,"ARI, MIA",MIA@ARI,20210512|MIA@ARI|1,MIA at ARI on 2021-05-12
37,38,May 13,False,MIA,"L,1-5",35,30,1,5,1,0,0,1,3,0,10,0,1,1,0,0,1,0,0.238,0.319,0.405,0.724,7,14,L,T.Rogers(65),ARI,L,1,5,0.0,1.0,0.0,ARI,MIA,2021-05-13,20210513,,"ARI, MIA",MIA@ARI,20210513|MIA@ARI|1,MIA at ARI on 2021-05-13
38,39,May 14,False,WSN,"L,2-17",33,32,2,6,2,0,0,2,1,0,9,0,0,0,0,1,0,0,0.236,0.316,0.402,0.718,4,14,R,M.Scherzer(69),ARI,L,2,17,0.0,1.0,0.0,ARI,WSN,2021-05-14,20210514,,"ARI, WSN",WSN@ARI,20210514|WSN@ARI|1,WSN at ARI on 2021-05-14
39,40,May 15,False,WSN,"W,11-4",40,36,11,12,1,0,3,10,3,1,11,1,0,0,0,0,0,0,0.239,0.319,0.407,0.726,5,15,R,J.Ross(16),ARI,W,11,4,1.0,1.0,0.0,ARI,WSN,2021-05-15,20210515,,"ARI, WSN",WSN@ARI,20210515|WSN@ARI|1,WSN at ARI on 2021-05-15
40,41,May 16,False,WSN,"L,0-3",32,30,0,4,1,0,0,0,2,0,8,0,0,0,0,1,0,0,0.237,0.316,0.402,0.718,5,14,R,E.Fedde(73),ARI,L,0,3,0.0,1.0,0.0,ARI,WSN,2021-05-16,20210516,,"ARI, WSN",WSN@ARI,20210516|WSN@ARI|1,WSN at ARI on 2021-05-16
41,42,May 17,True,LAD,"L,1-3",36,30,1,4,0,0,0,1,6,0,7,0,0,0,0,1,0,0,0.235,0.315,0.396,0.711,8,13,R,W.Buehler(78),ARI,L,1,3,0.0,0.0,1.0,LAD,ARI,2021-05-17,20210517,,"ARI, LAD",ARI@LAD,20210517|ARI@LAD|1,ARI at LAD on 2021-05-17
42,43,May 18,True,LAD,"L,1-9",31,30,1,3,1,0,0,1,0,0,10,1,0,0,0,0,0,0,0.232,0.312,0.391,0.703,3,14,L,J.Urias(72),ARI,L,1,9,0.0,0.0,1.0,LAD,ARI,2021-05-18,20210518,,"ARI, LAD",ARI@LAD,20210518|ARI@LAD|1,ARI at LAD on 2021-05-18
43,44,May 19,True,LAD,"L,2-4",32,29,2,2,1,0,1,2,2,0,11,1,0,0,0,0,0,1,0.229,0.309,0.387,0.696,3,14,L,C.Kershaw(67),ARI,L,2,4,0.0,0.0,1.0,LAD,ARI,2021-05-19,20210519,,"ARI, LAD",ARI@LAD,20210519|ARI@LAD|1,ARI at LAD on 2021-05-19
44,45,May 20,True,LAD,"L,2-3",34,33,2,7,3,0,1,2,1,0,14,0,0,0,1,1,0,1,0.228,0.307,0.388,0.695,5,13,L,D.Price(51),ARI,L,2,3,0.0,0.0,1.0,LAD,ARI,2021-05-20,20210520,,"ARI, LAD",ARI@LAD,20210520|ARI@LAD|1,ARI at LAD on 2021-05-20
45,46,May 21,True,COL,"L,1-7",37,32,1,7,2,0,0,1,4,0,9,0,0,1,0,1,0,0,0.228,0.307,0.385,0.692,9,15,R,G.Marquez(74),ARI,L,1,7,0.0,0.0,1.0,COL,ARI,2021-05-21,20210521,,"ARI, COL",ARI@COL,20210521|ARI@COL|1,ARI at COL on 2021-05-21
46,47,May 22,True,COL,"L,6-7",43,37,6,12,5,0,1,6,4,0,7,1,0,1,1,1,0,0,0.23,0.309,0.389,0.698,10,14,R,A.Senzatela(45),ARI,L,6,7,0.0,0.0,1.0,COL,ARI,2021-05-22,20210522,,"ARI, COL",ARI@COL,20210522|ARI@COL|1,ARI at COL on 2021-05-22
47,48,May 23,True,COL,"L,3-4",34,30,3,4,2,0,1,3,3,0,9,0,0,1,0,0,0,0,0.229,0.307,0.387,0.694,4,19,R,J.Gray(57),ARI,L,3,4,0.0,0.0,1.0,COL,ARI,2021-05-23,20210523,,"ARI, COL",ARI@COL,20210523|ARI@COL|1,ARI at COL on 2021-05-23
48,49,May 25,False,SFG,"L,0-8",38,36,0,9,4,0,0,0,2,0,15,0,0,0,0,0,0,0,0.229,0.307,0.387,0.693,11,14,R,K.Gausman(64),ARI,L,0,8,0.0,1.0,0.0,ARI,SFG,2021-05-25,20210525,,"ARI, SFG",SFG@ARI,20210525|SFG@ARI|1,SFG at ARI on 2021-05-25
49,50,May 26,False,SFG,"L,4-5",39,38,4,13,2,0,0,4,0,0,7,0,1,0,0,1,0,0,0.232,0.307,0.387,0.694,8,16,R,J.Cueto(40),ARI,L,4,5,0.0,1.0,0.0,ARI,SFG,2021-05-26,20210526,,"ARI, SFG",SFG@ARI,20210526|SFG@ARI|1,SFG at ARI on 2021-05-26
50,51,May 27,False,STL,"L,4-5",40,36,4,7,3,0,0,4,3,0,11,1,0,0,0,0,1,0,0.231,0.307,0.385,0.691,6,17,R,C.Martinez(59),ARI,L,4,5,0.0,1.0,0.0,ARI,STL,2021-05-27,20210527,,"ARI, STL",STL@ARI,20210527|STL@ARI|1,STL at ARI on 2021-05-27
51,52,May 28,False,STL,"L,6-8",46,37,6,11,3,1,0,6,7,0,12,1,0,1,0,1,0,0,0.232,0.309,0.386,0.695,13,14,R,J.Oviedo(40),ARI,L,6,8,0.0,1.0,0.0,ARI,STL,2021-05-28,20210528,,"ARI, STL",STL@ARI,20210528|STL@ARI|1,STL at ARI on 2021-05-28
52,53,May 29,False,STL,"L,4-7",41,35,4,8,3,0,1,4,6,0,11,0,0,0,0,0,0,0,0.232,0.31,0.386,0.696,10,17,R,A.Wainwright(44),ARI,L,4,7,0.0,1.0,0.0,ARI,STL,2021-05-29,20210529,,"ARI, STL",STL@ARI,20210529|STL@ARI|1,STL at ARI on 2021-05-29
53,54,May 30,False,STL,"W,9-2",42,37,9,13,1,1,1,9,5,1,1,0,0,0,2,2,0,0,0.234,0.312,0.388,0.701,9,12,L,K.Kim(33),ARI,W,9,2,1.0,1.0,0.0,ARI,STL,2021-05-30,20210530,,"ARI, STL",STL@ARI,20210530|STL@ARI|1,STL at ARI on 2021-05-30
54,55,May 31,False,NYM,"L,2-6",35,35,2,8,1,0,1,2,0,0,11,0,0,0,0,0,0,0,0.234,0.311,0.388,0.699,6,13,R,J.deGrom(76),ARI,L,2,6,0.0,1.0,0.0,ARI,NYM,2021-05-31,20210531,,"ARI, NYM",NYM@ARI,20210531|NYM@ARI|1,NYM at ARI on 2021-05-31
55,56,Jun 1,False,NYM,"W,6-5",42,40,6,11,2,0,1,6,2,0,9,0,0,0,1,0,0,0,0.235,0.311,0.388,0.699,8,18,R,M.Stroman(52),ARI,W,6,5,1.0,1.0,0.0,ARI,NYM,2021-06-01,20210601,,"ARI, NYM",NYM@ARI,20210601|NYM@ARI|1,NYM at ARI on 2021-06-01
56,57,Jun 2,False,NYM,"L,6-7",36,32,6,8,1,0,1,6,4,0,4,0,0,0,0,1,0,0,0.235,0.311,0.388,0.699,3,17,L,D.Peterson(22),ARI,L,6,7,0.0,1.0,0.0,ARI,NYM,2021-06-02,20210602,,"ARI, NYM",NYM@ARI,20210602|NYM@ARI|1,NYM at ARI on 2021-06-02
57,58,Jun 3,True,MIL,"L,4-7",45,40,4,13,4,0,1,4,4,0,11,1,0,0,0,0,0,0,0.237,0.313,0.39,0.703,14,16,L,B.Anderson(35),ARI,L,4,7,0.0,0.0,1.0,MIL,ARI,2021-06-03,20210603,,"ARI, MIL",ARI@MIL,20210603|ARI@MIL|1,ARI at MIL on 2021-06-03
58,59,Jun 4,True,MIL,"L,1-5",31,27,1,1,0,0,0,1,3,0,10,0,0,1,0,0,1,0,0.235,0.311,0.385,0.696,3,14,R,F.Peralta(78),ARI,L,1,5,0.0,0.0,1.0,MIL,ARI,2021-06-04,20210604,,"ARI, MIL",ARI@MIL,20210604|ARI@MIL|1,ARI at MIL on 2021-06-04
59,60,Jun 5,True,MIL,"L,5-7",39,36,5,10,2,0,3,5,3,0,14,0,0,0,0,0,0,1,0.235,0.311,0.389,0.7,7,15,R,B.Woodruff(55),ARI,L,5,7,0.0,0.0,1.0,MIL,ARI,2021-06-05,20210605,,"ARI, MIL",ARI@MIL,20210605|ARI@MIL|1,ARI at MIL on 2021-06-05
60,61,Jun 6,True,MIL,"L,0-2",33,33,0,6,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0.235,0.309,0.386,0.695,6,15,R,C.Burnes(82),ARI,L,0,2,0.0,0.0,1.0,MIL,ARI,2021-06-06,20210606,,"ARI, MIL",ARI@MIL,20210606|ARI@MIL|1,ARI at MIL on 2021-06-06
61,62,Jun 8,True,OAK,"L,2-5",33,31,2,5,0,0,1,2,1,0,6,0,0,1,0,0,0,0,0.233,0.307,0.384,0.691,4,10,R,C.Bassitt(66),ARI,L,2,5,0.0,0.0,1.0,OAK,ARI,2021-06-08,20210608,,"ARI, OAK",ARI@OAK,20210608|ARI@OAK|1,ARI at OAK on 2021-06-08
62,63,Jun 9,True,OAK,"L,0-4",34,30,0,2,0,0,0,0,4,0,5,0,0,0,1,0,0,0,0.231,0.305,0.38,0.685,7,11,L,S.Manaea(69),ARI,L,0,4,0.0,0.0,1.0,OAK,ARI,2021-06-09,20210609,,"ARI, OAK",ARI@OAK,20210609|ARI@OAK|1,ARI at OAK on 2021-06-09
63,64,Jun 11,False,LAA,"L,5-6",45,41,5,10,4,0,1,2,3,0,15,1,0,0,0,1,0,0,0.231,0.306,0.38,0.686,10,20,R,S.Ohtani(55),ARI,L,5,6,0.0,1.0,0.0,ARI,LAA,2021-06-11,20210611,,"ARI, LAA",LAA@ARI,20210611|LAA@ARI|1,LAA at ARI on 2021-06-11
64,65,Jun 12,False,LAA,"L,7-8",38,36,7,10,2,0,2,7,1,0,7,0,1,0,0,0,0,0,0.232,0.305,0.382,0.688,4,16,R,A.Cobb(27),ARI,L,7,8,0.0,1.0,0.0,ARI,LAA,2021-06-12,20210612,,"ARI, LAA",LAA@ARI,20210612|LAA@ARI|1,LAA at ARI on 2021-06-12
65,66,Jun 13,False,LAA,"L,3-10",38,34,3,8,0,0,0,3,4,0,5,0,0,0,0,1,0,0,0.232,0.306,0.38,0.686,8,16,L,P.Sandoval(58),ARI,L,3,10,0.0,1.0,0.0,ARI,LAA,2021-06-13,20210613,,"ARI, LAA",LAA@ARI,20210613|LAA@ARI|1,LAA at ARI on 2021-06-13
66,67,Jun 14,True,SFG,"L,2-5",36,32,2,6,1,0,1,2,2,0,8,1,0,0,0,1,0,0,0.232,0.305,0.379,0.684,7,16,L,A.Wood(62),ARI,L,2,5,0.0,0.0,1.0,SFG,ARI,2021-06-14,20210614,,"ARI, SFG",ARI@SFG,20210614|ARI@SFG|1,ARI at SFG on 2021-06-14
67,68,Jun 15,True,SFG,"L,8-9",41,38,8,12,5,0,0,8,3,0,7,0,0,0,0,1,0,0,0.233,0.306,0.38,0.686,6,13,R,Z.Littell(24),ARI,L,8,9,0.0,0.0,1.0,SFG,ARI,2021-06-15,20210615,,"ARI, SFG",ARI@SFG,20210615|ARI@SFG|1,ARI at SFG on 2021-06-15
68,69,Jun 16,True,SFG,"L,7-13",41,39,7,10,3,0,1,6,2,0,7,0,0,0,2,0,0,0,0.233,0.306,0.381,0.686,7,16,R,A.DeSclafani(55),ARI,L,7,13,0.0,0.0,1.0,SFG,ARI,2021-06-16,20210616,,"ARI, SFG",ARI@SFG,20210616|ARI@SFG|1,ARI at SFG on 2021-06-16
69,70,Jun 17,True,SFG,"L,3-10",33,32,3,5,1,1,0,3,1,0,6,0,0,0,1,1,0,0,0.232,0.304,0.379,0.683,3,12,R,K.Gausman(71),ARI,L,3,10,0.0,0.0,1.0,SFG,ARI,2021-06-17,20210617,,"ARI, SFG",ARI@SFG,20210617|ARI@SFG|1,ARI at SFG on 2021-06-17
70,71,Jun 18,False,LAD,"L,0-3",33,30,0,3,1,0,0,0,3,0,9,0,0,0,0,0,1,0,0.231,0.303,0.376,0.678,6,14,R,T.Bauer(76),ARI,L,0,3,0.0,1.0,0.0,ARI,LAD,2021-06-18,20210618,,"ARI, LAD",LAD@ARI,20210618|LAD@ARI|1,LAD at ARI on 2021-06-18
71,72,Jun 19,False,LAD,"L,3-9",34,30,3,4,1,0,0,3,3,0,14,1,0,0,0,1,1,0,0.229,0.302,0.373,0.675,4,15,R,W.Buehler(75),ARI,L,3,9,0.0,1.0,0.0,ARI,LAD,2021-06-19,20210619,,"ARI, LAD",LAD@ARI,20210619|LAD@ARI|1,LAD at ARI on 2021-06-19
72,73,Jun 20,False,LAD,"L,8-9",42,39,8,12,2,0,0,8,3,0,8,0,0,0,0,0,0,0,0.231,0.303,0.373,0.676,7,19,R,T.Gonsolin(53),ARI,L,8,9,0.0,1.0,0.0,ARI,LAD,2021-06-20,20210620,,"ARI, LAD",LAD@ARI,20210620|LAD@ARI|1,LAD at ARI on 2021-06-20
73,74,Jun 21,False,MIL,"W,5-1",38,30,5,9,1,0,0,5,6,0,11,1,1,0,0,0,0,1,0.231,0.304,0.373,0.677,9,12,L,B.Anderson(33),ARI,W,5,1,1.0,1.0,0.0,ARI,MIL,2021-06-21,20210621,,"ARI, MIL",MIL@ARI,20210621|MIL@ARI|1,MIL at ARI on 2021-06-21
74,75,Jun 22,False,MIL,"L,0-5",34,29,0,2,1,0,0,0,5,0,12,0,0,0,0,0,1,0,0.23,0.303,0.37,0.673,7,17,R,F.Peralta(76),ARI,L,0,5,0.0,1.0,0.0,ARI,MIL,2021-06-22,20210622,,"ARI, MIL",MIL@ARI,20210622|MIL@ARI|1,MIL at ARI on 2021-06-22
75,76,Jun 23,False,MIL,"L,2-3",34,31,2,5,0,0,2,2,3,0,12,0,0,0,0,0,0,1,0.229,0.302,0.369,0.672,5,16,R,B.Woodruff(74),ARI,L,2,3,0.0,1.0,0.0,ARI,MIL,2021-06-23,20210623,,"ARI, MIL",MIL@ARI,20210623|MIL@ARI|1,MIL at ARI on 2021-06-23
76,77,Jun 25,True,SDP,"L,5-11",45,39,5,13,3,0,0,5,5,0,8,0,1,0,1,0,0,0,0.23,0.304,0.37,0.674,13,16,R,C.Paddack(21),ARI,L,5,11,0.0,0.0,1.0,SDP,ARI,2021-06-25,20210625,,"ARI, SDP",ARI@SDP,20210625|ARI@SDP|1,ARI at SDP on 2021-06-25
